PPREG4,PPGENDER,0
Midwest,Female,3.42521467084
Midwest,Male,2.96289978678
Northeast,Female,2.56689530936
Northeast,Male,2.14555461473
South,Female,3.42308863844
South,Male,3.50987804878
West,Female,3.71872546454
West,Male,3.23477166235
