PPREG4,PPGENDER,0
Midwest,Female,0.322807017544
Midwest,Male,0.381620931717
Northeast,Female,0.329230141458
Northeast,Male,0.475981110568
South,Female,0.360890582548
South,Male,0.267896274653
West,Female,0.391172506739
West,Male,0.321988595866
