PPREG4,PPGENDER,0
Midwest,Female,0.583526889405
Midwest,Male,0.390161639303
Northeast,Female,0.55275771282
Northeast,Male,0.410238095238
South,Female,0.573984083386
South,Male,0.433704490514
West,Female,0.556000478126
West,Male,0.408441558442
