PPREG4,PPGENDER,0
Midwest,Female,0.390369580668
Midwest,Male,0.276447679244
Northeast,Female,0.35479092317
Northeast,Male,0.341052299937
South,Female,0.410364095811
South,Male,0.228070815842
West,Female,0.308137204375
West,Male,0.240183399953
