PPREG4,PPGENDER,0
Midwest,Female,0.611653374598
Midwest,Male,0.454777884308
Northeast,Female,0.453469821856
Northeast,Male,0.36726294127
South,Female,0.622016387602
South,Male,0.428303964758
West,Female,0.463243092381
West,Male,0.373072186712
